,systematic_number,title_de,token_count,outlier_tfidf,outlier_w2v,outlier_short,outlier_score,exclude
109,390.720,"Vertrag betreffend die Kremation von Leichen aus dem Kanton Basel-Landschaft und die Abdankung im Krematorium der Stadt Basel zwischen dem Kanton Basel-Stadt, vertreten durch seinen Regierungsrat, handelnd aufgrund von § 17 des Gesetzes betreffend die Bestattungen, und dem Kanton Basel-Landschaft namens dessen Gemeinden, vertreten durch den Regierungsrat, handelnd aufgrund seines Aufsichtsrechtes gemäss § 1 des Gesetzes über das Begräbniswesen",135,False,False,False,0,False
110,590.100,Gesetz betreffend die Feuerwehr des Kantons Basel-Stadt,162,False,False,False,0,False
111,590.110,Verordnung zum Gesetz betreffend die Feuerwehr des Kantons Basel-Stadt,233,False,False,False,0,False
112,610.100,Gesetz über den kantonalen Finanzhaushalt,870,False,False,False,0,False
113,650.100,Gesetz über die Handänderungssteuer,466,False,False,False,0,False
114,650.500,Gesetz über die Besteuerung der Motorfahrzeuge,184,False,False,False,0,False
115,740.110,Verordnung zum Enteignungsgesetz,334,False,False,False,0,False
116,869.710,Verordnung über die Behindertenhilfe,1676,True,False,False,1,False
117,910.300,Verordnung betreffend den Vollzug des Bundesgesetzes über die wirtschaftliche Landesversorgung (LVG),166,False,False,False,0,False
118,910.400,Verordnung zum Bundesgesetz über das Messwesen,66,False,True,False,1,False
119,911.400,Verordnung betreffend den kantonalen Pflanzenschutzdienst,133,False,False,False,0,False
120,911.600,Waldgesetz Basel-Stadt,598,False,False,False,0,False
121,912.200,Wildtier- und Jagdgesetz,835,False,False,False,0,False
122,912.210,Wildtier- und Jagdverordnung,1117,False,False,False,0,False
123,912.500,Gesetz über die Fischerei im Kanton Basel-Stadt,49,False,False,False,0,False
124,919.200,Grossratsbeschluss betreffend Umwandlung der Genossenschaft Schweizer Mustermesse in Basel in die Schweizer Mustermesse AG,63,False,True,False,1,False
125,951.110,Verordnung zum Gesetz über den öffentlichen Verkehr,56,False,False,False,0,False
126,952.260,Reglement über Wunschkontrollschilder,167,False,False,False,0,False
127,952.570,Vereinbarung zwischen den Kantonen Basel-Landschaft und Basel-Stadt über die gemeinsame Ausgabe von Gewerbeparkkarten,79,False,False,False,0,False
128,952.600,"Verordnung über den Betrieb der Parkgaragen Elisabethen, Steinen, City, Storchen und St. Jakob sowie des Parkplatzes St. Jakob",165,False,False,False,0,False
129,952.860,Vereinbarung über die Gebühren der Motorfahrzeugprüfstation beider Basel,117,False,False,False,0,False
130,953.860,"Vertrag zwischen den Basler Verkehrs-Betrieben (BVB) und der Basellandschaftlichen Ueberlandbahn AG, nachstehend BUeB genannt",105,False,False,False,0,False
131,953.940,Ausführungsbestimmungen zur Vereinbarung über die Beitragsleistung an Fahrten von mobilitätseingeschränkten Personen,36,False,False,False,0,False
132,954.420,"Vertrag zwischen dem Deutschen Reich (Eisenbahnfiskus), vertreten durch die Reichsbahndirektion in Karlsruhe, einerseits, dem Kanton Basel-Stadt, vertreten durch den Regierungsrat, und den Schweizerischen Bundesbahnen, vertreten durch die Generaldirektion in Bern, anderseits, betreffend a) den Anschluss der Hafenbahn an den Basel Badischen Verschubbahnhof, b) den Betrieb der Hafenbahn durch die Schweizerischen Bundesbahnen zwischen dem baselstädtischen Rheinhafen Kleinhüningen und dem Basel Badischen Verschubbahnhof",523,False,False,False,0,False
133,954.520,Übereinkunft betreffend die Weiterführung der Grossherzoglichen Badischen Rheinthal-Eisenbahn durch das Gebiet des Kantons Basel-Stadt,321,False,False,False,0,False
134,954.540,Übereinkunft betreffend die Erweiterung des Badischen Hauptbahnhofs und die Erstellung eines Rangier- und Werkstättenbahnhofs auf dem Gebiete des Kantons Basel-Stadt,78,False,False,False,0,False
135,955.100,Vollziehungsverordnung zum Bundesgesetz über die Binnenschifffahrt,203,False,False,False,0,False
136,955.200,Gesetz über die Rheinschiffahrtsgerichte,90,False,False,False,0,False
137,955.400,"Staatsvertrag über die Zusammenlegung der Rheinschifffahrtsdirektion Basel und der Rheinhäfen des Kantons Basel-Landschaft zu einer Anstalt öffentlichen Rechts mit eigener Rechtspersönlichkeit unter dem Namen «Schweizer Rheinhäfen» («Ports Rhénans Suisses», «Swiss Rhine Ports»)",1164,True,False,False,1,False
138,955.480,Abgabetarif der Schweizerischen Rheinhäfen,150,False,False,False,0,False
139,955.700,"Interkantonale Vereinbarung zwischen den Kantonen Basel-Stadt, Basel-Landschaft und Aargau in Rheinschiffahrts- und Hafenangelegenheiten",319,False,False,False,0,False
140,955.900,Beschluss des Regierungsrates betreffend Zuständigkeit zur Verzeigung von an Bord schweizerischer Seeschiffe begangenen Übertretungen,20,False,False,False,0,False
141,956.200,Französisch-schweizerischer Staatsvertrag über den Bau und Betrieb des Flughafens Basel-Mülhausen in Blotzheim,729,False,False,False,0,False
142,956.520,Grossratsbeschluss betreffend Verlängerung der Hauptpiste des Flughafens Basel-Mülhausen sowie Richtlinien über Massnahmen betreffend den Fluglärm aus dem Betrieb des Flughafens Basel-Mülhausen,118,False,False,False,0,False
143,562.360,Reglement über die Stammbeschickung an der Basler Herbstmesse und am Weihnachtsmarkt,96,False,False,False,0,False
144,562.530,Verordnung zum Trödel- und Pfandleihgewerbe,479,False,False,False,0,False
145,563.100,Gesetz über das Gastgewerbe,612,True,False,False,1,False
146,563.210,Verordnung zum Taxigesetz,517,False,False,False,0,False
147,568.200,Verordnung über den Vollzug der eidgenössischen Waffengesetzgebung,17,False,False,True,1,False
148,569.500,Plakatverordnung,315,False,False,False,0,False
149,575.100,Verordnung über die Wehrpflichtersatzabgabe,76,False,False,False,0,False
150,576.180,Verordnung über den Kulturgüterschutz,314,False,False,False,0,False
151,790.100,Gesetz betreffend die Baurekurskommission,60,False,False,False,0,False
152,890.100,Sozialhilfegesetz,540,False,False,False,0,False
153,890.700,Gesetz über die Harmonisierung und Koordination von bedarfsabhängigen Sozialleistungen,550,False,False,False,0,False
154,111.100,Verfassung des Kantons Basel-Stadt,2110,True,False,False,1,False
155,118.430,Vereinbarung über die Interparlamentarische Konferenz der Nordwestschweiz,140,False,False,False,0,False
156,118.600,Vereinbarung über die Organisation und die Führung der Regionalplanung beider Basel,130,False,False,False,0,False
157,118.700,Vereinbarung über die Organisation der Geschäftsstelle der Trägerschaft für das Agglomerationsprogramm der Agglomeration Basel,120,False,False,False,0,False
158,211.110,Verordnung zum Einführungsgesetz zum Schweizerischen Zivilgesetzbuch,649,False,False,False,0,False
159,212.200,Verordnung über das Inkasso und die Bevorschussung von Unterhaltsbeiträgen,334,False,False,False,0,False
160,212.500,Verordnung über die Ausbildung der mit Kindesanhörungen und Kindesvertretung beauftragten Personen,73,False,False,False,0,False
161,212.800,Verordnung zur Einführung des Bundesgesetzes zum Haager Adoptionsübereinkommen,94,False,False,False,0,False
162,212.850,Einführungsgesetz zum Bundesgesetz über internationale Kindesentführung und die Haager Übereinkommen zum Schutz von Kindern und Erwachsenen,67,False,True,False,1,False
163,212.910,Ordnung über die Stiftungsaufsicht,300,False,False,False,0,False
164,214.320,Verordnung über die amtliche Vermessung,699,False,False,False,0,False
165,214.600,Kantonale Verordnung betreffend die Bewilligungspflicht für den Erwerb von Grundstücken durch Personen im Ausland,50,False,False,False,0,False
166,215.210,Verordnung zum Bundesgesetz über den Konsumkredit und zur Bundesverordnung zum Konsumkreditgesetz,89,False,False,False,0,False
167,257.113,Verordnung über die Zuständigkeiten zur Erhebung von bundesrechtlichen Ordnungsbussen,65,False,False,False,0,False
168,257.115,Verordnung über das kantonale Ordnungsbussenverfahren,125,False,False,False,0,False
